,level_0,index,call_stack,all_func_names,num_calls,severity,exclusive_runtimes,TotalRuntimeSum(AllFunc),severity_trunc,sev_bin_upper_bound
0,0,167,61a3b0,hipLaunchKernel,1,1.0,2221825,,1.0,1.0
1,1,1780,5be719,hipLaunchKernel,1,0.9154762413781464,2034028,,0.91,1.0
2,2,3895,de3a76,hipLaunchKernel,1,0.8025983144487077,1783233,,0.8,0.9
3,3,1901,0140e0,hipLaunchKernel,1,0.7116465068130928,1581154,,0.71,0.8
4,4,1878,db8018,hipLaunchKernel,1,0.6450652054054662,1433222,,0.64,0.7
5,5,0,8ceacb,hipLaunchKernel,8,0.4896200195784996,1087850,90097526.0,0.48,0.5
6,6,1789,233a55,hipLaunchKernel,1,0.4694744185523162,1043090,,0.46,0.5
7,7,3858,3f7b17,hipLaunchKernel,1,0.4567186884655632,1014749,,0.45,0.5
8,8,3297,03d855,"OpenMP_Parallel_Region void Grid::GridParallelRNG::fill<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> >, std::normal_distribution<double> >(Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >&, std::vector<std::normal_distribution<double>, std::allocator<std::normal_distribution<double> > >&) [{/autofs/nccs-svm1_home1/ckelly/bld/Grid_crusher_Xconj_PrgEnv-amd_TAUinst_select/HMC/Mobius2p1fIwasakiXconj3dirs_16I} {0, 0}]",4,0.3735469715211594,829956,,0.37,0.4
9,9,15550,2e7437,"Grid::ConjugateGradientReliableUpdate<Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >, Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<float>, Grid::GpuVector<8, Grid::GpuComplex<HIP_vector_type<float, 2u> > > >, 3>, 4> > >, 0, 0>::operator()(Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > > const&, Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >&) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/algorithms/iterative/ConjugateGradientReliableUpdate.h} {75}]",8,0.1855852733676144,412338,,0.18,0.2
