,severity_bin,agg_runtime
0,0.0,0.0
1,0.1,59610323.0
2,0.2,3318373.0
3,0.3,0.0
4,0.4,0.0
5,0.5,0.0
6,0.6,0.0
7,0.7,0.0
8,0.8,0.0
9,0.9,8193089.0
10,1.0,26848264.0
